Date,Emerging Markets Equal Weighted Currency Index,Emerging Markets Equal Weighted Index Equity Index (Local Currency),MSCI Emerging Markets Equity Index (USD),S&P 500,Dax,MSCI Europe Financials Index,J.P. Morgan Emerging Markets Bond Index , IBoxx US Investment Grade Corporate Bond Index , IBoxx US High Yield Corporate Bond Index,Emerging Markets -US 10 Year Bond  Average Spread,US 10 Year Treasury Yield,Crude Oil WTI,Gold ,London Metal Exchange Index,US Dollar Index
1/28/2013,-0.004299153,9.81408E-05,-0.015612935,0.005095665,0.017837088,0.022631745,-0.004596767,-0.007288608,0.003303822,-0.031912844,0.066222243,0.002100955,-0.023803165,-0.005831769,-0.001502261
2/1/2013,0.008222413,0.004684015,0.010518287,0.00866267,0.000149533,0.005391378,-0.011954117,-0.003199786,-0.007282167,-0.023730107,0.030597227,0.013804487,0.010292755,0.033733417,-0.006786298
2/7/2013,-0.005001686,-0.006189492,-0.012249561,-0.002518913,-0.030894739,-0.046501904,-0.000210485,0.002096078,-0.004592735,0.028367783,-0.032545465,-0.019881464,0.000577792,-0.013144261,0.0123445
2/13/2013,0.00310215,0.003594451,0.005396412,0.007308757,0.015962085,0.036061168,-0.001502497,-0.003198228,0.00149992,-0.027263427,0.035239011,0.012357109,-0.015641126,0.00719519,-0.00130304
2/20/2013,-0.004496762,0.000589512,0.003393717,-0.005489659,0.002214973,-0.00850758,-0.0030983,0.001598229,0.002903001,0.000568764,-0.008882503,-0.026361418,-0.040440373,-0.030479513,0.012233588
2/26/2013,-0.008084916,-0.012685729,-0.024071365,-0.009897167,-0.017148641,-0.054301136,0.001096027,0.009527798,-2.12947E-06,0.043104679,-0.061625454,-0.019475867,0.023869558,-0.021116514,0.00983027
3/4/2013,-0.002807022,0.004450319,-0.000999502,0.018780616,0.01257647,0.00380081,0.002601589,9.80712E-05,0.003403892,-0.009312349,-0.003722628,-0.027185826,-0.026780212,-0.020118269,0.003884265
3/8/2013,0.003289191,0.018305091,0.02397145,0.017086223,0.038310756,0.033564264,-0.00390054,-0.008573465,0.004406774,-0.053437007,0.090513765,0.020378633,0.00280203,0.001385471,0.006469145
3/14/2013,-0.002500967,-0.008875386,-0.016906757,0.007705073,0.008977121,0.010239461,-0.001701956,0.00099811,0.002201771,0.013022967,-0.005836883,0.011739086,0.008898429,0.010966692,-0.001313758
3/20/2013,-0.00400096,-0.013254855,-0.0202863,-0.002837658,-0.007039322,-0.0266531,-0.00269841,0.004096885,0.000899299,0.036712456,-0.038794984,-0.000796634,0.010614808,-0.026624117,0.002052608
3/26/2013,-0.00050495,0.000473396,0.002733817,0.003309311,-0.01533655,-0.031992036,-0.0009998,-0.00020056,0.00059969,0.012355081,-0.023990488,0.036238182,-0.007307515,-0.00226437,0.001190809
4/2/2013,-0.00030186,0.004800784,0.000791713,0.004176506,0.008186254,0.014016439,0.001898579,0.002698225,0.0021011,0.015375036,-0.025631741,0.008811126,-0.012989649,-0.019712901,0.00048035
